transcript	pN	pS	dN	dS	mk.raw.p.value	mk.odds.ni	dos
rna-XM_031557878.1	32.0	27.0	3.0	2.0	1.0	0.7901234567901234	0.057627118644067776
rna-XM_031566530.1	103.0	157.0	1.0	0.0	0.39846743295019155	0.0	0.6038461538461539
rna-XM_031566661.1	2.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_031566939.1	3.0	23.0	0.0	1.0	1.0	inf	-0.11538461538461539
rna-XM_031567433.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_031558119.1	13.0	53.0	2.0	1.0	0.11690269878230336	0.12264150943396226	0.46969696969696967
rna-XM_031558148.1	13.0	53.0	2.0	1.0	0.11690269878230336	0.12264150943396226	0.46969696969696967
rna-XM_031558063.1	13.0	53.0	2.0	1.0	0.11690269878230336	0.12264150943396226	0.46969696969696967
rna-XM_031558260.1	13.0	53.0	2.0	1.0	0.11690269878230336	0.12264150943396226	0.46969696969696967
rna-XM_012824662.2	13.0	53.0	2.0	1.0	0.11690269878230336	0.12264150943396226	0.46969696969696967
rna-XM_031558322.1	13.0	53.0	2.0	1.0	0.11690269878230336	0.12264150943396226	0.46969696969696967
rna-XM_031558412.1	17.0	47.0	1.0	1.0	0.4741258741258741	0.3617021276595745	0.234375
rna-XM_031567855.1	23.0	81.0	0.0	2.0	1.0	inf	-0.22115384615384615
rna-XM_012824657.2	2.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_012824658.2	3.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_031568054.1	12.0	15.0	0.0	1.0	1.0	inf	-0.4444444444444444
rna-XM_031558714.1	4.0	21.0	0.0	0.0	1.0	nan	NA
rna-XM_031558759.1	4.0	21.0	0.0	0.0	1.0	nan	NA
rna-XM_031558653.1	8.0	31.0	1.0	1.0	0.39512195121951216	0.25806451612903225	0.2948717948717949
rna-XM_012824622.2	10.0	25.0	0.0	0.0	1.0	nan	NA
rna-XM_012824645.2	7.0	33.0	1.0	1.0	0.34843205574912894	0.21212121212121213	0.325
rna-XM_031558998.1	15.0	61.0	0.0	2.0	1.0	inf	-0.19736842105263158
rna-XM_012824613.2	28.0	19.0	2.0	0.0	0.5153061224489797	0.0	0.4042553191489362
rna-XM_031559164.1	8.0	51.0	0.0	1.0	1.0	inf	-0.13559322033898305
rna-XM_031573479.1	15.0	14.0	0.0	1.0	1.0	inf	-0.5172413793103449
rna-XM_031573529.1	15.0	14.0	0.0	1.0	1.0	inf	-0.5172413793103449
rna-XM_012824634.2	6.0	25.0	1.0	0.0	0.21875	0.0	0.8064516129032258
rna-XM_012824635.2	6.0	25.0	1.0	0.0	0.21875	0.0	0.8064516129032258
rna-XM_031559452.1	15.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031559367.1	9.0	20.0	0.0	0.0	1.0	nan	NA
rna-XM_012824636.2	16.0	23.0	1.0	0.0	0.425	0.0	0.5897435897435898
rna-XM_031559617.1	78.0	68.0	6.0	2.0	0.2927881672920634	0.38235294117647056	0.21575342465753422
rna-XM_031559549.1	80.0	74.0	6.0	2.0	0.28440429368633857	0.36036036036036034	0.23051948051948057
rna-XM_031559798.1	7.0	33.0	1.0	0.0	0.19512195121951217	0.0	0.825
rna-XM_031559853.1	7.0	33.0	1.0	0.0	0.19512195121951217	0.0	0.825
rna-XM_012817833.2	0.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_031560012.1	23.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_031560073.1	22.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_012817834.2	19.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_012817832.2	19.0	53.0	0.0	0.0	1.0	nan	NA
rna-XM_031560278.1	1.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_031568858.1	9.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031569003.1	58.0	35.0	0.0	0.0	1.0	nan	NA
rna-XM_031560353.1	10.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_031560421.1	12.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_031573634.1	8.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_031573726.1	7.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_031560502.1	24.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031560568.1	2.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_012818421.2	2.0	11.0	0.0	1.0	1.0	inf	-0.15384615384615385
rna-XM_031560656.1	10.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_031560883.1	34.0	37.0	2.0	0.0	0.23972602739726026	0.0	0.5211267605633803
rna-XM_031560839.1	34.0	37.0	2.0	0.0	0.23972602739726026	0.0	0.5211267605633803
rna-XM_031560978.1	6.0	14.0	4.0	0.0	0.019762845849802372	0.0	0.7
rna-XM_031561043.1	6.0	14.0	4.0	0.0	0.019762845849802372	0.0	0.7
rna-XM_031569229.1	45.0	143.0	2.0	2.0	0.25177800522248023	0.3146853146853147	0.2606382978723404
rna-XM_012818422.2	2.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_031561246.1	5.0	46.0	0.0	0.0	1.0	nan	NA
rna-XM_031561297.1	5.0	46.0	0.0	0.0	1.0	nan	NA
rna-XM_012818442.2	7.0	74.0	1.0	1.0	0.1845430502497796	0.0945945945945946	0.41358024691358025
rna-XM_031561167.1	7.0	72.0	1.0	1.0	0.18888888888888888	0.09722222222222222	0.4113924050632911
rna-XM_031561427.1	19.0	78.0	0.0	1.0	1.0	inf	-0.1958762886597938
rna-XM_031561379.1	19.0	78.0	0.0	1.0	1.0	inf	-0.1958762886597938
rna-XM_012818430.2	11.0	47.0	0.0	0.0	1.0	nan	NA
rna-XM_031561626.1	10.0	47.0	0.0	0.0	1.0	nan	NA
rna-XM_031561560.1	11.0	47.0	0.0	0.0	1.0	nan	NA
rna-XM_031561799.1	10.0	47.0	0.0	0.0	1.0	nan	NA
rna-XM_012818436.2	10.0	46.0	0.0	0.0	1.0	nan	NA
rna-XM_012818438.2	9.0	46.0	0.0	0.0	1.0	nan	NA
rna-XM_031561730.1	10.0	46.0	0.0	0.0	1.0	nan	NA
rna-XM_012818441.2	4.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_031561876.1	32.0	100.0	0.0	1.0	1.0	inf	-0.24242424242424243
rna-XM_012818423.2	17.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_031562038.1	7.0	29.0	3.0	0.0	0.013130539446328918	0.0	0.8055555555555556
rna-XM_031561975.1	8.0	29.0	3.0	0.0	0.016700404858299597	0.0	0.7837837837837838
rna-XM_031562100.1	8.0	27.0	1.0	0.0	0.25	0.0	0.7714285714285715
rna-XM_031562284.1	8.0	27.0	1.0	0.0	0.25	0.0	0.7714285714285715
rna-XM_031562160.1	8.0	27.0	1.0	0.0	0.25	0.0	0.7714285714285715
rna-XM_031562377.1	8.0	27.0	1.0	0.0	0.25	0.0	0.7714285714285715
rna-XM_031562323.1	8.0	27.0	1.0	0.0	0.25	0.0	0.7714285714285715
rna-XM_031562214.1	8.0	27.0	1.0	0.0	0.25	0.0	0.7714285714285715
id-LOC105892181	35.0	36.0	0.0	0.0	1.0	nan	NA
rna-XM_031571689.1	28.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_012823571.2	13.0	41.0	0.0	1.0	1.0	inf	-0.24074074074074073
id-LOC116217872	9.0	3.0	0.0	0.0	1.0	nan	NA
id-LOC105904562	15.0	8.0	0.0	0.0	1.0	nan	NA
id-LOC116221487	5.0	6.0	0.0	0.0	1.0	nan	NA
id-LOC116221560	3.0	2.0	0.0	0.0	1.0	nan	NA
id-LOC116221797	9.0	6.0	0.0	0.0	1.0	nan	NA
id-LOC116221823	1.0	0.0	0.0	0.0	1.0	nan	NA
id-LOC116219583	25.0	9.0	0.0	0.0	1.0	nan	NA
id-LOC105908682	9.0	10.0	0.0	0.0	1.0	nan	NA
id-LOC116219635	13.0	6.0	0.0	0.0	1.0	nan	NA
id-LOC105896767	15.0	7.0	0.0	0.0	1.0	nan	NA
id-LOC116219657	7.0	6.0	0.0	0.0	1.0	nan	NA
id-LOC116221848	22.0	9.0	0.0	0.0	1.0	nan	NA
id-LOC116221902	10.0	2.0	0.0	0.0	1.0	nan	NA
id-LOC116219330	1.0	0.0	0.0	0.0	1.0	nan	NA
id-LOC116222044	9.0	7.0	0.0	0.0	1.0	nan	NA
id-LOC116222065	0.0	0.0	0.0	0.0	1.0	nan	NA
id-LOC116219747	9.0	2.0	0.0	0.0	1.0	nan	NA
id-LOC116219436	19.0	7.0	0.0	0.0	1.0	nan	NA
id-LOC116222099	19.0	15.0	0.0	0.0	1.0	nan	NA
id-LOC116222113	9.0	5.0	0.0	0.0	1.0	nan	NA
id-LOC116222141	25.0	16.0	0.0	0.0	1.0	nan	NA
id-LOC116219699	13.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_031575311.1	7.0	0.0	0.0	0.0	1.0	nan	NA
id-LOC116219601	18.0	11.0	0.0	0.0	1.0	nan	NA
id-LOC116222291	6.0	6.0	0.0	0.0	1.0	nan	NA
id-LOC116222372	10.0	3.0	0.0	0.0	1.0	nan	NA
id-LOC116219543	12.0	13.0	0.0	0.0	1.0	nan	NA
id-LOC116219366	0.0	0.0	0.0	0.0	1.0	nan	NA
id-LOC116222418	30.0	19.0	0.0	0.0	1.0	nan	NA
id-LOC116219495	11.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_012837531.2	3.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_031563754.1	45.0	44.0	0.0	0.0	1.0	nan	NA
rna-XM_031573977.1	11.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_012837529.2	5.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_031563910.1	196.0	368.0	0.0	1.0	1.0	inf	-0.3475177304964539
rna-XM_031563839.1	196.0	368.0	0.0	1.0	1.0	inf	-0.3475177304964539
rna-XM_031564137.1	19.0	21.0	0.0	0.0	1.0	nan	NA
rna-XM_031564132.1	21.0	24.0	0.0	0.0	1.0	nan	NA
rna-XM_012837524.2	5.0	25.0	0.0	0.0	1.0	nan	NA
rna-XM_031564154.1	6.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_012837521.2	6.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_012837537.2	2.0	30.0	0.0	0.0	1.0	nan	NA
rna-XM_031574071.1	6.0	21.0	0.0	0.0	1.0	nan	NA
rna-XM_031564170.1	15.0	34.0	0.0	0.0	1.0	nan	NA
rna-XM_031564201.1	33.0	23.0	1.0	0.0	1.0	0.0	0.4107142857142857
rna-XM_031564175.1	29.0	23.0	1.0	0.0	1.0	0.0	0.4423076923076923
rna-XM_031564183.1	28.0	23.0	1.0	0.0	1.0	0.0	0.4509803921568627
rna-XM_031564190.1	36.0	23.0	1.0	0.0	1.0	0.0	0.38983050847457623
rna-XM_012837528.2	2.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_012837535.2	5.0	19.0	0.0	2.0	1.0	inf	-0.20833333333333334
rna-XM_012837536.2	1.0	28.0	0.0	0.0	1.0	nan	NA
rna-XM_031564277.1	7.0	31.0	1.0	0.0	0.20512820512820512	0.0	0.8157894736842105
rna-XM_031564267.1	7.0	31.0	1.0	0.0	0.20512820512820512	0.0	0.8157894736842105
rna-XM_031564273.1	5.0	31.0	1.0	0.0	0.16216216216216223	0.0	0.8611111111111112
rna-XM_031564253.1	121.0	64.0	0.0	1.0	0.3494623655913978	inf	-0.654054054054054
rna-XM_031564259.1	106.0	60.0	0.0	1.0	0.36526946107784436	inf	-0.6385542168674698
rna-XM_031564239.1	101.0	72.0	0.0	0.0	1.0	nan	NA
rna-XM_031564246.1	100.0	79.0	0.0	0.0	1.0	nan	NA
rna-XM_031564315.1	97.0	61.0	0.0	0.0	1.0	nan	NA
rna-XM_031564294.1	100.0	61.0	0.0	0.0	1.0	nan	NA
rna-XM_031564299.1	85.0	59.0	0.0	0.0	1.0	nan	NA
rna-XM_031564304.1	69.0	51.0	0.0	0.0	1.0	nan	NA
rna-XM_012842047.2	5.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_012842046.2	42.0	30.0	0.0	0.0	1.0	nan	NA
rna-XM_031564322.1	38.0	59.0	1.0	0.0	0.39795918367346944	0.0	0.6082474226804124
rna-XM_031564335.1	8.0	42.0	0.0	3.0	1.0	inf	-0.16
rna-XM_031564343.1	8.0	42.0	0.0	3.0	1.0	inf	-0.16
rna-XM_012842045.2	0.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_012842041.2	23.0	59.0	1.0	1.0	0.4922547332185886	0.3898305084745763	0.2195121951219512
rna-XM_031564354.1	23.0	59.0	1.0	1.0	0.4922547332185886	0.3898305084745763	0.2195121951219512
rna-XM_031564362.1	23.0	59.0	1.0	1.0	0.4922547332185886	0.3898305084745763	0.2195121951219512
rna-XM_031564370.1	23.0	59.0	1.0	1.0	0.4922547332185886	0.3898305084745763	0.2195121951219512
rna-XM_031564394.1	19.0	36.0	0.0	2.0	0.5476190476190478	inf	-0.34545454545454546
rna-XM_031564388.1	19.0	36.0	0.0	2.0	0.5476190476190478	inf	-0.34545454545454546
rna-XM_012842054.2	13.0	34.0	0.0	0.0	1.0	nan	NA
rna-XM_012842055.2	1.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_031564427.1	4.0	21.0	2.0	1.0	0.10683760683760685	0.09523809523809523	0.5066666666666666
rna-XM_031564435.1	1.0	20.0	1.0	1.0	0.16996047430830039	0.05	0.4523809523809524
rna-XM_031564432.1	2.0	21.0	2.0	1.0	0.052307692307692305	0.047619047619047616	0.5797101449275361
rna-XM_031564417.1	4.0	21.0	2.0	1.0	0.10683760683760685	0.09523809523809523	0.5066666666666666
rna-XM_031564443.1	23.0	52.0	0.0	1.0	1.0	inf	-0.30666666666666664
rna-XM_031564449.1	1.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_012842037.2	39.0	39.0	0.0	0.0	1.0	nan	NA
rna-XM_012842030.2	51.0	48.0	0.0	0.0	1.0	nan	NA
rna-XM_031564455.1	11.0	18.0	1.0	1.0	1.0	0.6111111111111112	0.12068965517241381
rna-XM_031564475.1	17.0	11.0	1.0	1.0	1.0	1.5454545454545454	-0.1071428571428571
rna-XM_031564485.1	17.0	16.0	2.0	1.0	1.0	0.53125	0.1515151515151515
rna-XM_031564495.1	25.0	29.0	0.0	0.0	1.0	nan	NA
rna-XM_031574228.1	21.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031574301.1	7.0	15.0	1.0	0.0	0.3478260869565217	0.0	0.6818181818181819
rna-XM_031576986.1	12.0	19.0	0.0	1.0	1.0	inf	-0.3870967741935484
rna-XM_031576991.1	20.0	18.0	0.0	0.0	1.0	nan	NA
rna-XM_031574437.1	13.0	20.0	0.0	0.0	1.0	nan	NA
rna-XM_031574517.1	3.0	15.0	1.0	0.0	0.21052631578947373	0.0	0.8333333333333334
rna-XM_012814422.2	4.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_031576998.1	63.0	31.0	1.0	1.0	1.0	2.032258064516129	-0.17021276595744683
rna-XM_012814426.2	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_031577002.1	19.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031564518.1	13.0	30.0	0.0	0.0	1.0	nan	NA
rna-XM_031564528.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_031574683.1	21.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_031564538.1	27.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_031564559.1	2.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_031564550.1	2.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_012833288.2	18.0	14.0	0.0	1.0	0.45454545454545453	inf	-0.5625
rna-XM_031564568.1	12.0	18.0	0.0	0.0	1.0	nan	NA
rna-XM_031564574.1	12.0	18.0	0.0	0.0	1.0	nan	NA
rna-XM_012833293.2	2.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_031564595.1	7.0	3.0	0.0	0.0	1.0	nan	NA
rna-XM_012833291.2	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_012833292.2	0.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_012833287.2	3.0	12.0	0.0	3.0	1.0	inf	-0.2
rna-XM_012833290.2	6.0	11.0	0.0	0.0	1.0	nan	NA
rna-XM_031564628.1	3.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_031564657.1	9.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_031564651.1	9.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_012833295.2	1.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_031564639.1	15.0	25.0	0.0	0.0	1.0	nan	NA
rna-XM_031564632.1	15.0	25.0	0.0	0.0	1.0	nan	NA
rna-XM_031564671.1	28.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031577007.1	25.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_031564686.1	22.0	45.0	0.0	0.0	1.0	nan	NA
rna-XM_012833284.2	22.0	45.0	0.0	0.0	1.0	nan	NA
rna-XM_031564694.1	22.0	36.0	0.0	0.0	1.0	nan	NA
rna-XM_031564711.1	15.0	26.0	0.0	0.0	1.0	nan	NA
rna-XM_031564705.1	15.0	26.0	0.0	0.0	1.0	nan	NA
rna-XM_031564718.1	14.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_031564699.1	51.0	47.0	0.0	0.0	1.0	nan	NA
rna-XM_031564735.1	54.0	51.0	0.0	1.0	0.4905660377358491	inf	-0.5142857142857142
rna-XM_031564732.1	54.0	54.0	0.0	1.0	1.0	inf	-0.5
rna-XM_031564744.1	48.0	52.0	0.0	1.0	1.0	inf	-0.48
rna-XM_031564728.1	54.0	54.0	0.0	1.0	1.0	inf	-0.5
rna-XM_031564755.1	21.0	26.0	1.0	0.0	0.4583333333333333	0.0	0.5531914893617021
rna-XM_031564762.1	7.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_031564796.1	28.0	40.0	1.0	0.0	0.4202898550724638	0.0	0.5882352941176471
rna-XM_031564789.1	25.0	42.0	1.0	0.0	0.38235294117647056	0.0	0.6268656716417911
rna-XM_031564784.1	32.0	47.0	1.0	0.0	0.4125	0.0	0.5949367088607596
rna-XM_031577014.1	13.0	7.0	0.0	0.0	1.0	nan	NA
rna-XM_031577023.1	9.0	20.0	0.0	0.0	1.0	nan	NA
rna-XM_031564805.1	1.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_012836269.2	1.0	1.0	0.0	0.0	1.0	nan	NA
rna-XM_012836280.2	23.0	35.0	0.0	0.0	1.0	nan	NA
rna-XM_012836271.2	1.0	4.0	0.0	0.0	1.0	nan	NA
rna-XM_012836282.2	5.0	23.0	0.0	1.0	1.0	inf	-0.17857142857142858
rna-XM_031564823.1	8.0	24.0	0.0	1.0	1.0	inf	-0.25
rna-XM_031564833.1	5.0	23.0	0.0	1.0	1.0	inf	-0.17857142857142858
rna-XM_031564838.1	7.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_031564844.1	11.0	18.0	1.0	2.0	1.0	1.2222222222222223	-0.04597701149425287
rna-XM_031564848.1	11.0	18.0	1.0	2.0	1.0	1.2222222222222223	-0.04597701149425287
rna-XM_031574882.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_031574987.1	0.0	0.0	0.0	0.0	1.0	nan	NA
rna-XM_031564867.1	14.0	49.0	0.0	0.0	1.0	nan	NA
rna-XM_031564861.1	14.0	50.0	0.0	0.0	1.0	nan	NA
rna-XM_031564877.1	40.0	25.0	0.0	0.0	1.0	nan	NA
rna-XM_031564883.1	0.0	12.0	0.0	0.0	1.0	nan	NA
rna-XM_031564892.1	25.0	62.0	2.0	0.0	0.08963227783452503	0.0	0.7126436781609196
rna-XM_031564912.1	101.0	35.0	0.0	0.0	1.0	nan	NA
rna-XM_031564899.1	102.0	35.0	0.0	0.0	1.0	nan	NA
rna-XM_031564905.1	102.0	35.0	0.0	0.0	1.0	nan	NA
rna-XM_031575086.1	14.0	6.0	0.0	0.0	1.0	nan	NA
rna-XM_012836279.2	7.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031564926.1	0.0	2.0	0.0	0.0	1.0	nan	NA
rna-XM_031564969.1	4.0	12.0	1.0	0.0	0.29411764705882354	0.0	0.75
rna-XM_031564933.1	14.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_031564942.1	14.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_012836274.2	14.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_031564949.1	14.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_012836275.2	14.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_012836276.2	14.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_031564991.1	13.0	24.0	1.0	0.0	0.3684210526315789	0.0	0.6486486486486487
rna-XM_031564980.1	13.0	24.0	1.0	0.0	0.3684210526315789	0.0	0.6486486486486487
rna-XM_031565004.1	13.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_012836264.2	17.0	16.0	0.0	0.0	1.0	nan	NA
rna-XM_031565018.1	25.0	23.0	0.0	0.0	1.0	nan	NA
rna-XM_012836266.2	28.0	29.0	0.0	0.0	1.0	nan	NA
rna-XM_031565029.1	5.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_031565038.1	27.0	35.0	0.0	0.0	1.0	nan	NA
rna-XM_031565065.1	16.0	39.0	1.0	1.0	0.5112781954887219	0.41025641025641024	0.2090909090909091
rna-XM_031565056.1	16.0	41.0	1.0	1.0	0.4967855055523086	0.3902439024390244	0.2192982456140351
rna-XM_031565046.1	16.0	41.0	1.0	1.0	0.4967855055523086	0.3902439024390244	0.2192982456140351
rna-XM_031565068.1	16.0	39.0	1.0	1.0	0.5112781954887219	0.41025641025641024	0.2090909090909091
rna-XM_012836270.2	1.0	5.0	0.0	0.0	1.0	nan	NA
rna-XM_012836284.2	14.0	13.0	0.0	0.0	1.0	nan	NA
rna-XM_012836268.2	7.0	25.0	1.0	0.0	0.2424242424242424	0.0	0.78125
rna-XM_031565097.1	288.0	165.0	0.0	0.0	1.0	nan	NA
rna-XM_012827168.2	4.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_012827089.1	6.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_012827163.2	3.0	8.0	0.0	0.0	1.0	nan	NA
rna-XM_031565107.1	2.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_031565110.1	2.0	32.0	0.0	0.0	1.0	nan	NA
rna-XM_012827139.2	2.0	31.0	0.0	0.0	1.0	nan	NA
rna-XM_031565127.1	11.0	14.0	0.0	0.0	1.0	nan	NA
rna-XM_012827090.2	12.0	15.0	0.0	0.0	1.0	nan	NA
rna-XM_012827091.2	21.0	16.0	0.0	0.0	1.0	nan	NA
rna-XM_012827209.2	0.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_012827208.2	0.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031565143.1	16.0	51.0	2.0	2.0	0.26464876213804556	0.3137254901960784	0.26119402985074625
rna-XM_031565148.1	16.0	51.0	2.0	2.0	0.26464876213804556	0.3137254901960784	0.26119402985074625
rna-XM_012827211.2	13.0	51.0	2.0	2.0	0.208955223880597	0.2549019607843137	0.296875
rna-XM_031565174.1	8.0	6.0	1.0	0.0	1.0	0.0	0.4285714285714286
rna-XM_012827093.2	8.0	6.0	1.0	0.0	1.0	0.0	0.4285714285714286
rna-XM_031565181.1	8.0	6.0	1.0	0.0	1.0	0.0	0.4285714285714286
rna-XM_012827210.2	0.0	10.0	0.0	0.0	1.0	nan	NA
rna-XM_031565222.1	23.0	22.0	0.0	0.0	1.0	nan	NA
rna-XM_031565233.1	15.0	24.0	0.0	0.0	1.0	nan	NA
rna-XM_012827165.2	5.0	29.0	0.0	0.0	1.0	nan	NA
rna-XM_031565263.1	6.0	27.0	0.0	0.0	1.0	nan	NA
rna-XM_012827144.2	38.0	26.0	0.0	1.0	0.4153846153846153	inf	-0.59375
rna-XM_031565275.1	8.0	19.0	0.0	0.0	1.0	nan	NA
rna-XM_031565240.1	10.0	37.0	0.0	0.0	1.0	nan	NA
rna-XM_012827097.2	10.0	24.0	0.0	0.0	1.0	nan	NA
rna-XM_031577069.1	2.0	6.0	0.0	1.0	1.0	inf	-0.25
rna-XM_012827198.2	0.0	9.0	0.0	0.0	1.0	nan	NA
rna-XM_012827196.2	3.0	18.0	0.0	0.0	1.0	nan	NA
rna-XM_012827197.2	3.0	18.0	0.0	0.0	1.0	nan	NA
